d u	d I d
r I w o r d	r I w o r d ɨ d
b æ N	b æ N d
b U k	b U k t
k æ n s ɨ l	k æ n s ɨ l d
g I g ɨ l	g I g ɨ l d
g l i m	g l i m d
b W n s	b W n s t
i k w ɨ l	i k w ɨ l d
I n k l o z	I n k l o z d
g æ s p	g æ s p t
p l W	p l W d
k e r I k t ɨ r Y z	k e r I k t ɨ r Y z d
ʌ n d R m Y n	ʌ n d R m Y n d
E m p t i	E m p t i d
I n d u s	I n d u s t
t æ p	t æ p t
ɨ l a r m	ɨ l a r m d
p r a p	p r a p t
b W	b W d
d I s k a r d	d I s k a r d ɨ d
æ d v R t Y z	æ d v R t Y z d
I n v e d	I n v e d ɨ d
J R k	J R k t
l o k e t	l o k e t ɨ d
W t l Y n	W t l Y n d
s R p r Y z	s R p r Y z d
b e t	b e t ɨ d
S E d	S E d
s ɨ r E n d R	s ɨ r E n d R d
k R l	k R l d
k R s	k R s t
s l æ m	s l æ m d
r e n	r e n d
r i ɨ S u r	r i ɨ S u r d
s ʌ b s t I t u t	s ʌ b s t I t u t ɨ d
b a r g I n	b a r g I n d
p I n	p I n d
s p I t	s p æ t
C i r	C i r d
r I v Y v	r I v Y v d
s w E l	s w E l d
ɨ k s E l ɨ r e t	ɨ k s E l ɨ r e t ɨ d
ɨ k a m p l I S	ɨ k a m p l I S t
k ɨ n t r æ k t	k ɨ n t r æ k t ɨ d
m I s l i d	m I s l E d
n e r o	n e r o d
I k s i d	I k s i d ɨ d
r æ t ɨ l	r æ t ɨ l d
ʌ n l a k	ʌ n l a k t
h i l	h i l d
r I p	r I p t
t a l ɨ r e t	t a l ɨ r e t ɨ d
ɨ k a m ɨ d e t	ɨ k a m ɨ d e t ɨ d
I n I S i e t	I n I S i e t ɨ d
p r ɨ n W n s	p r ɨ n W n s t
s k r æ m b ɨ l	s k r æ m b ɨ l d
s t i r	s t i r d
r i p r ɨ d u s	r i p r ɨ d u s t
r a b	r a b d
w R S I p	w R S I p t
k o w o r d I n e t	k o w o r d I n e t ɨ d
d I s t o r t	d I s t o r t ɨ d
g r I p	g r I p t
t r e l	t r e l d
t I l t	t I l t ɨ d
d I s p Y z	d I s p Y z d
t r a t	t r a t ɨ d
C o k	C o k t
E n t R t e n	E n t R t e n d
d I s ɨ g r i	d I s ɨ g r i d
d I s p o z	d I s p o z d
r I k r u t	r I k r u t ɨ d
d i k r i s	d i k r i s t
m ʌ l t I p l Y	m ʌ l t I p l Y d
r i b I l d	r i b I l t
k ɨ n s i d	k ɨ n s i d ɨ d
r I z R v	r I z R v d
æ d v ɨ k e t	æ d v ɨ k e t ɨ d
p o k	p o k t
s R v e	s R v e d
a n R	a n R d
s æ k r ɨ f Y s	s æ k r ɨ f Y s t
k ʌ l t I v e t	k ʌ l t I v e t ɨ d
ʌ t R	ʌ t R d
C i t	C i t ɨ d
k r W C	k r W C t
I n h æ n s	I n h æ n s t
I k s k l e m	I k s k l e m d
r a k	r a k t
k e t R	k e t R d
k a N k R	k a N k R d
S e v	S e v d
t i z	t i z d
I n t R v i n	I n t R v i n d
s æ n d w I C	s æ n d w I C t
b l I N k	b l I N k t
h ɔ n t	h ɔ n t ɨ d
h W z	h W z d
s k w e r	s k w e r d
b I w I l d R	b I w I l d R d
f l ʌ S	f l ʌ S t
m a n I t R	m a n I t R d
w i v	w o v
h o r I f Y	h o r I f Y d
r I s t r I k t	r I s t r I k t ɨ d
s I g n ɨ l	s I g n ɨ l d
s t e J	s t e J d
d I p a z I t	d I p a z I t ɨ d
h i v	h i v d
ɨ w o r d	ɨ w o r d ɨ d
I n l a r J	I n l a r J d
f l I k R	f l I k R d
w Y d ɨ n	w Y d ɨ n d
s t æ g R	s t æ g R d
s t E m	s t E m d
ɨ s t a n I S	ɨ s t a n I S t
r e J	r e J d
t a p	t a p t
d I s i v	d I s i v d
h ɔ l	h ɔ l d
m ɨ n I p j U l e t	m ɨ n I p j U l e t ɨ d
m o n	m o n d
r i g e n	r i g e n d
s t r Y v	s t r o v
k a n t æ k t	k a n t æ k t ɨ d
p ʌ z ɨ l	p ʌ z ɨ l d
ɨ t e n	ɨ t e n d
w I p	w I p t
d I k t e t	d I k t e t ɨ d
f o r m j U l e t	f o r m j U l e t ɨ d
f ʌ N k S ɨ n	f ʌ N k S ɨ n d
I m p l ɨ m E n t	I m p l ɨ m E n t ɨ d
v E n C R	v E n C R d
p r i C	p r i C t
r I s t r e n	r I s t r e n d
s t r o l	s t r o l d
d æ S	d æ S t
I g z æ J ɨ r e t	I g z æ J ɨ r e t ɨ d
E k s ɨ k j u t	E k s ɨ k j u t ɨ d
f ʌ n d	f ʌ n d ɨ d
S ʌ d R	S ʌ d R d
d æ z ɨ l	d æ z ɨ l d
r I k w E s t	r I k w E s t ɨ d
b o l	b o l d
I g z R t	I g z R t ɨ d
f l æ t R	f l æ t R d
s n I f	s n I f t
k a m	k a m d
k æ m p e n	k æ m p e n d
g r æ J u e t	g r æ J u e t ɨ d
k w I t	k w I t
w I s ɨ l	w I s ɨ l d
f r e m	f r e m d
w E l S	w E l S t
b a m	b a m d
d Y v	d o v
I n v I z I J	I n v I z I J d
f l ʌ t R	f l ʌ t R d
s o	s o d
s t r Y d	s t r o d
k l æ s p	k l æ s p t
h R l	h R l d
k ɔ f	k ɔ f t
h æ m R	h æ m R d
I m ɨ t e t	I m ɨ t e t ɨ d
p r I s i d	p r I s i d ɨ d
s E n t R	s E n t R d
k R v	k R v d
s k r e p	s k r e p t
v a m I t	v a m I t ɨ d
h ɔ l t	h ɔ l t ɨ d
E n v i	E n v i d
s u	s u d
m a r k I t	m a r k I t ɨ d
s k w a t	s k w a t ɨ d
e k	e k t
ɨ d o r	ɨ d o r d
s R k j U l e t	s R k j U l e t ɨ d
i r E k t	i r E k t ɨ d
I g z I b I t	I g z I b I t ɨ d
s t ʌ n	s t ʌ n d
b l R	b l R d
k a m b æ t	k a m b æ t ɨ d
k a m p E n s e t	k a m p E n s e t ɨ d
g l e r	g l e r d
p r o g r æ m	p r o g r æ m d
d Y v R t	d Y v R t ɨ d
s ɨ b J E k t	s ɨ b J E k t ɨ d
t r E d	t r a d
I n t r i g	I n t r i g d
l E v ɨ l	l E v ɨ l d
l I N g R	l I N g R d
S ʌ v	S ʌ v d
h ʌ v R	h ʌ v R d
n æ S ɨ n ɨ l Y z	n æ S ɨ n ɨ l Y z d
s t e n	s t e n d
T r Y v	T r Y v d
ɨ w e k ɨ n	ɨ w e k ɨ n d
Y s ɨ l e t	Y s ɨ l e t ɨ d
m R J	m R J d
f o t ɨ g r æ f	f o t ɨ g r æ f t
p r a m p t	p r a m p t ɨ d
s ʌ b s I d Y z	s ʌ b s I d Y z d
b o s t	b o s t ɨ d
d I b e t	d I b e t ɨ d
f o r s i	f o r s ɔ
S ʌ f ɨ l	S ʌ f ɨ l d
ɨ d m I n ɨ s t R	ɨ d m I n ɨ s t R d
k ɨ n f o r m	k ɨ n f o r m d
p o s t p o n	p o s t p o n d
C æ t	C æ t ɨ d
k W n t R	k W n t R d
d a r k ɨ n	d a r k ɨ n d
d I p I k t	d I p I k t ɨ d
d r I l	d r I l d
r a t	r a t ɨ d
s l Y s	s l Y s t
k l æ p	k l æ p t
r I p e r	r I p e r d
S r i k	S r i k t
I k s Y t	I k s Y t ɨ d
I m b a r k	I m b a r k t
I n h æ b I t	I n h æ b I t ɨ d
s t r æ N g ɨ l	s t r æ N g ɨ l d
s t r ʌ k C R	s t r ʌ k C R d
d I n W n s	d I n W n s t
I n s R t	I n s R t ɨ d
p r I z u m	p r I z u m d
p r I v e l	p r I v e l d
p r I s k r Y b	p r I s k r Y b d
s p r I N k ɨ l	s p r I N k ɨ l d
d I f Y	d I f Y d
d I p l O	d I p l O d
h ʌ g	h ʌ g d
k I d	k I d ɨ d
s t r i m	s t r i m d
k o a p ɨ r e t	k o a p ɨ r e t ɨ d
J o k	J o k t
b ʌ l J	b ʌ l J d
s R k ɨ l	s R k ɨ l d
s o	s o d
e l	e l d
k ɨ m p r Y z	k ɨ m p r Y z d
g r o n	g r o n d
h ʌ m	h ʌ m d
t ʌ m b ɨ l	t ʌ m b ɨ l d
h j u m I l i e t	h j u m I l i e t ɨ d
J æ m	J æ m d
k w I v R	k w I v R d
t r æ k	t r æ k t
r o t e t	r o t e t ɨ d
s m u D	s m u D d
s t æ k	s t æ k t
I n f E k t	I n f E k t ɨ d
k r ʌ m b ɨ l	k r ʌ m b ɨ l d
l I k	l I k t
s k E J u ɨ l	s k E J u ɨ l d
t o r C R	t o r C R d
l I b ɨ r e t	l I b ɨ r e t ɨ d
b l ʌ S	b l ʌ S t
s a b	s a b d
t u n	t u n d
I k s p E l	I k s p E l d
f l æ p	f l æ p t
l E k C R	l E k C R d
b ʌ m p	b ʌ m p t
s Y t	s Y t ɨ d
p e s	p e s t
s t i m	s t i m d
t ʌ g	t ʌ g d
b u m	b u m d
f l I k	f l I k t
I m p r I z ɨ n	I m p r I z ɨ n d
p r I z Y d	p r I z Y d ɨ d
k w o r ɨ l	k w o r ɨ l d
v æ l j u	v æ l j u d
k o I n s Y d	k o I n s Y d ɨ d
k r æ m	k r æ m d
k r I p ɨ l	k r I p ɨ l d
d u m	d u m d
f i C R	f i C R d
h I n t	h I n t ɨ d
s p E k j U l e t	s p E k j U l e t ɨ d
r I N k ɨ l	r I N k ɨ l d
k o r I s p a n d	k o r I s p a n d ɨ d
d I s t r E s	d I s t r E s t
f o r k æ s t	f o r k æ s t
g l I t R	g l I t R d
s k r ʌ b	s k r ʌ b d
m o t I v e t	m o t I v e t ɨ d
r e p	r e p t
f æ s ɨ n	f æ s ɨ n d
p R C	p R C t
p I C	p I C t
p ʌ n C	p ʌ n C t
I n s ʌ l t	I n s ʌ l t ɨ d
l i k	l i k t
s E n t ɨ n s	s E n t ɨ n s t
ʌ n d R l Y n	ʌ n d R l Y n d
d I t R	d I t R d
ɨ b s E s	ɨ b s E s t
C æ t R	C æ t R d
d r I p	d r I p t
w R l	w R l d
r E k	r E k t
I k s p o r t	I k s p o r t ɨ d
b a r k	b a r k t
b r u d	b r u d ɨ d
k ɨ n t r æ s t	k ɨ n t r æ s t ɨ d
d E d I k e t	d E d I k e t ɨ d
h a r m	h a r m d
I n J R	I n J R d
m I N g ɨ l	m I N g ɨ l d
s o r	s o r d
s p E S ɨ l Y z	s p E S ɨ l Y z d
s p l æ S	s p l æ S t
s p r e	s p r e d
k ɨ n v I k t	k ɨ n v I k t ɨ d
I k w I p	I k w I p t
h a r d ɨ n	h a r d ɨ n d
g r o p	g r o p t
r i s Y k ɨ l	r i s Y k ɨ l d
r I h R s	r I h R s t
t w I C	t w I C t
d I s p R s	d I s p R s t
h æ n d i k æ p	h æ n d i k æ p t
h W l	h W l d
I l u m I n e t	I l u m I n e t ɨ d
k l E n C	k l E n C t
I n d o r s	I n d o r s t
p æ n t	p æ n t ɨ d
s æ k	s æ k t
s w R l	s w R l d
ɨ p ɔ l	ɨ p ɔ l d
d æ N g ɨ l	d æ N g ɨ l d
ɨ r I J ɨ n e t	ɨ r I J ɨ n e t ɨ d
r I f o r m	r I f o r m d
I n t e l	I n t e l d
m I l k	m I l k t
p i l	p i l d
p a n d R	p a n d R d
k ɨ m p r E s	k ɨ m p r E s t
f o r J	f o r J d
h a r v I s t	h a r v I s t ɨ d
m a k	m a k t
s p E s I f Y	s p E s I f Y d
l u m	l u m d
p r a s ɨ k j u t	p r a s ɨ k j u t ɨ d
t I k	t I k t
ʌ n d u	ʌ n d I d
C I l	C I l d
I n d ʌ s t r i ɨ l Y z	I n d ʌ s t r i ɨ l Y z d
I n t E n s I f Y	I n t E n s I f Y d
o m I t	o m I t ɨ d
s ɔ f ɨ n	s ɔ f ɨ n d
k ɨ n f R	k ɨ n f R d
d I s I p l I n	d I s I p l I n d
d I s t r æ k t	d I s t r æ k t ɨ d
I n h I b I t	I n h I b I t ɨ d
m I n I m Y z	m I n I m Y z d
r i z ɨ n	r i z ɨ n d
s p a n s R	s p a n s R d
b o r d	b o r d ɨ d
f l æ t ɨ n	f l æ t ɨ n d
n I t	n I t
p I n C	p I n C t
s ʌ p l ɨ m E n t	s ʌ p l ɨ m E n t ɨ d
m I s t e k	m I s t U k
n ʌ m b R	n ʌ m b R d
r I t r i v	r I t r i v d
s k I p	s k I p t
w e l	w e l d
e d	e d ɨ d
E J	E J d
d I s p E n s	d I s p E n s t
t E s t ɨ f Y	t E s t ɨ f Y d
w i l	w i l d
k r ʌ m p ɨ l	k r ʌ m p ɨ l d
r E k ɨ n s Y l	r E k ɨ n s Y l d
r o s t	r o s t ɨ d
s k æ n	s k æ n d
s p r ɔ l	s p r ɔ l d
b æ t ɨ l	b æ t ɨ l d
d w E l	d w E l t
d w E l	d w E l d
g r ʌ n t	g r ʌ n t ɨ d
o v R w E l m	o v R w E l m d
s I g n I f Y	s I g n I f Y d
t r I g R	t r I g R d
ɨ p l ɔ d	ɨ p l ɔ d ɨ d
b e D	b e D d
k l I k	k l I k t
k ɨ n g r æ C U l e t	k ɨ n g r æ C U l e t ɨ d
d w I n d ɨ l	d w I n d ɨ l d
I v o k	I v o k t
l u s ɨ n	l u s ɨ n d
n æ g	n æ g d
T r I l	T r I l d
ɨ l R t	ɨ l R t ɨ d
d e z	d e z d
J E s C R	J E s C R d
r E g j U l e t	r E g j U l e t ɨ d
r W z	r W z d
b i m	b i m d
k l æ s I f Y	k l æ s I f Y d
d I s C a r J	d I s C a r J d
E d I t	E d I t ɨ d
I m b a d i	I m b a d i d
I k s p e r I m ɨ n t	I k s p e r I m ɨ n t ɨ d
p W n d	p W n d ɨ d
k o m	k o m d
ɨ b s k j u r	ɨ b s k j u r d
p ʌ f	p ʌ f t
k l o D	k l o D d
i r o d	i r o d ɨ d
f E l	f E l d
w ɔ t R	w ɔ t R d
ɨ s ɔ l t	ɨ s ɔ l t ɨ d
b U l i	b U l i d
C e r I S	C e r I S t
d I s ɨ p r u v	d I s ɨ p r u v d
f I l t R	f I l t R d
g l I s ɨ n	g l I s ɨ n d
h I s	h I s t
h ʌ d ɨ l	h ʌ d ɨ l d
p o r t r e	p o r t r e d
s I m R	s I m R d
j u n I f Y	j u n I f Y d
b l Y n d	b l Y n d ɨ d
f ʌ m b ɨ l	f ʌ m b ɨ l d
h e s ɨ n	h e s ɨ n d
o v R t e k	o v R t U k
S a r p ɨ n	S a r p ɨ n d
s t Y f ɨ l	s t Y f ɨ l d
t Y d i	t Y d i d
d I k e	d I k e d
f u l	f u l d
m o b ɨ l Y z	m o b ɨ l Y z d
p æ d	p æ d ɨ d
s t e r ɨ l Y z	s t e r ɨ l Y z d
t æ N g ɨ l	t æ N g ɨ l d
k ɨ n t E n d	k ɨ n t E n d ɨ d
d r E d	d r E d ɨ d
f I l m	f I l m d
h a p	h a p t
l R k	l R k t
r I v Y z	r I v Y z d
s i z ɨ n	s i z ɨ n d
s t a k	s t a k t
I s k o r t	I s k o r t ɨ d
f l e r	f l e r d
m æ s t R	m æ s t R d
p ɨ l u t	p ɨ l u t ɨ d
p r o b	p r o b d
S E l t R	S E l t R d
w I D R	w I D R d
b r u z	b r u z d
d ʌ s t	d ʌ s t ɨ d
h ʌ n C	h ʌ n C t
l æ S	l æ S t
n R s	n R s t
p e r ɨ l Y z	p e r ɨ l Y z d
r I s i d	r I s i d ɨ d
s u p R v Y z	s u p R v Y z d
t r æ n s E n d	t r æ n s E n d ɨ d
t r I m	t r I m d
ʌ n d R E s t ɨ m e t	ʌ n d R E s t ɨ m e t ɨ d
e J	e J d
e l i ɨ n e t	e l i ɨ n e t ɨ d
d a r t	d a r t ɨ d
d I J E s t	d I J E s t ɨ d
I v æ l j u e t	I v æ l j u e t ɨ d
g r ʌ m b ɨ l	g r ʌ m b ɨ l d
m E n d	m E n d ɨ d
p l ʌ k	p l ʌ k t
s æ g	s æ g d
s I d u s	s I d u s t
s t I N	s t ʌ N
a r C	a r C t
k ɨ m I S ɨ n	k ɨ m I S ɨ n d
r I s Y t	r I s Y t ɨ d
s t ɔ k	s t ɔ k t
j u n Y t	j u n Y t ɨ d
b u s t	b u s t ɨ d
s E n t r ɨ l Y z	s E n t r ɨ l Y z d
m ɨ t S u r	m ɨ t S u r d
s k r i n	s k r i n d
ʌ n d r E s	ʌ n d r E s t
w e d	w e d ɨ d
d I v W R	d I v W R d
d r u p	d r u p t
s I m b ɨ l Y z	s I m b ɨ l Y z d
b l E n d	b l E n d ɨ d
p l a t	p l a t ɨ d
r i ɨ p i r	r i ɨ p i r d
r I n s	r I n s t
k ʌ p ɨ l	k ʌ p ɨ l d
ɨ p r E s	ɨ p r E s t
p ɨ z I S ɨ n	p ɨ z I S ɨ n d
S a p	S a p t
s ʌ m ɨ r Y z	s ʌ m ɨ r Y z d
æ l ɨ k e t	æ l ɨ k e t ɨ d
b l æ k	b l æ k t
k r i k	k r i k t
I n d e n J R	I n d e n J R d
I v æ p ɨ r e t	I v æ p ɨ r e t ɨ d
h R æ s	h R æ s t
t o r m E n t	t o r m E n t ɨ d
ɨ w e k	ɨ w o k
b E k ɨ n	b E k ɨ n d
d Y ɨ l	d Y ɨ l d
I n v o k	I n v o k t
p o s t	p o s t ɨ d
s t o r m	s t o r m d
d I s r ʌ p t	d I s r ʌ p t ɨ d
s l o p	s l o p t
k l e r I f Y	k l e r I f Y d
p i r s	p i r s t
S o r t ɨ n	S o r t ɨ n d
s ɨ b s Y d	s ɨ b s Y d ɨ d
w I N k	w I N k t
d I s I n t ɨ g r e t	d I s I n t ɨ g r e t ɨ d
d Y	d Y d
l E s ɨ n	l E s ɨ n d
r i p e	r i p e d
s Y l ɨ n s	s Y l ɨ n s t
s w o r m	s w o r m d
t r æ m p ɨ l	t r æ m p ɨ l d
k l æ m b R	k l æ m b R d
d I s k l o z	d I s k l o z d
p Y ɨ n i r	p Y ɨ n i r d
r I z o r t	r I z o r t ɨ d
s t æ b	s t æ b d
b a b	b a b d
d I g r e d	d I g r e d ɨ d
m æ k s I m Y z	m æ k s I m Y z d
o v R k r W d	o v R k r W d ɨ d
v a l ɨ n t i r	v a l ɨ n t i r d
r E s ɨ l	r E s ɨ l d
ɔ T ɨ r Y z	ɔ T ɨ r Y z d
s O l	s O l d
t Y R	t Y R d
æ N g R	æ N g R d
ɨ v R t	ɨ v R t ɨ d
k ɨ m p W n d	k ɨ m p W n d ɨ d
k a m p r I h E n d	k a m p r I h E n d ɨ d
d i p ɨ n	d i p ɨ n d
m I s ʌ n d R s t æ n d	m I s ʌ n d R s t U d
m o l d	m o l d ɨ d
m ʌ f ɨ l	m ʌ f ɨ l d
W t r e J	W t r e J d
s k I m	s k I m d
t r I k ɨ l	t r I k ɨ l d
ʌ n f o l d	ʌ n f o l d ɨ d
C æ n t	C æ n t ɨ d
k r a p	k r a p t
I n t r ɨ s t	I n t r ɨ s t ɨ d
ɔ f s E t	ɔ f s E t
p r ɨ t r u d	p r ɨ t r u d ɨ d
b ʌ z	b ʌ z d
k r W d	k r W d ɨ d
I n s u	I n s u d
I v e d	I v e d ɨ d
g r e d	g r e d ɨ d
m E s	m E s t
p ɨ l i s	p ɨ l i s t
r I g ɨ l	r I g ɨ l d
j ɔ n	j ɔ n d
k a m p l ɨ k e t	k a m p l ɨ k e t ɨ d
l I t R	l I t R d
p r o h I b ɨ t	p r o h I b ɨ t ɨ d
s k e r	s k e r d
s t u p	s t u p t
d I m a l I S	d I m a l I S t
d I s p l e s	d I s p l e s t
d r e p	d r e p t
t r æ n s p o r t	t r æ n s p o r t ɨ d
I n r I C	I n r I C t
l a J	l a J d
b æ f ɨ l	b æ f ɨ l d
k a n t r ɨ d I k t	k a n t r ɨ d I k t ɨ d
d I t i r i ɨ r e t	d I t i r i ɨ r e t ɨ d
n R I S	n R I S t
r o m	r o m d
T r æ S	T r æ S t
j u t ɨ l Y z	j u t ɨ l Y z d
v Y ɨ l e t	v Y ɨ l e t ɨ d
b l e z	b l e z d
d W n	d W n d
f l W R	f l W R d
p æ k I J	p æ k I J d
p ʌ b l ɨ s Y z	p ʌ b l ɨ s Y z d
r I b E l	r I b E l d
s u D	s u D d
r Y D	r Y D d
d E z I g n e t	d E z I g n e t ɨ d
h e l	h e l d
m e t	m e t ɨ d
r e d	r e d ɨ d
s E v R	s E v R d
k ɨ n s a l I d e t	k ɨ n s a l I d e t ɨ d
d I p l o r	d I p l o r d
i m I t	i m I t ɨ d
s I m p l I f Y	s I m p l I f Y d
ɨ s p Y R	ɨ s p Y R d
m æ g n I f Y	m æ g n I f Y d
s l ʌ m p	s l ʌ m p t
b l æ s t	b l æ s t ɨ d
b ʌ t ɨ n	b ʌ t ɨ n d
k ɨ n f Y d	k ɨ n f Y d ɨ d
d o z	d o z d
f ɨ s I l ɨ t e t	f ɨ s I l ɨ t e t ɨ d
k I d n æ p	k I d n æ p t
l R C	l R C t
r æ N k	r æ N k t
s l ɔ t R	s l ɔ t R d
s p r W t	s p r W t ɨ d
f æ S ɨ n	f æ S ɨ n d
o v R l æ p	o v R l æ p t
s t e S ɨ n	s t e S ɨ n d
T I n	T I n d
t r I p	t r I p t
ɔ l t R n e t	ɔ l t R n e t ɨ d
d I p r E s	d I p r E s t
J E n ɨ r ɨ l Y z	J E n ɨ r ɨ l Y z d
r e n	r e n d
s k u p	s k u p t
s k w I n t	s k w I n t ɨ d
d ʌ k	d ʌ k t
m æ n I f E s t	m æ n I f E s t ɨ d
r I v a l v	r I v a l v d
ɨ b j u z	ɨ b j u z d
k a k	k a k t
f l I p	f l I p t
g i r	g i r d
ʌ n k ʌ v R	ʌ n k ʌ v R d
ʌ n l o d	ʌ n l o d ɨ d
ʌ S R	ʌ S R d
w I s k	w I s k t
w i l d	w i l d ɨ d
ɨ s E n d	ɨ s E n d ɨ d
b ʌ b ɨ l	b ʌ b ɨ l d
k æ S	k æ S t
g e p	g e p t
r E l I S	r E l I S t
s k r I b ɨ l	s k r I b ɨ l d
T ʌ m p	T ʌ m p t
w I T h o l d	w I T h E l d
I f E k t	I f E k t ɨ d
f I d ɨ l	f I d ɨ l d
h ʌ S	h ʌ S t
m æ n	m æ n d
n o t I f Y	n o t I f Y d
p l ʌ g	p l ʌ g d
s m ʌ D R	s m ʌ D R d
r I N	r ʌ N
r I k R	r I k R d
k ɨ m p j u t	k ɨ m p j u t ɨ d
I n l I s t	I n l I s t ɨ d
m ɨ n u v R	m ɨ n u v R d
p e r I S	p e r I S t
r I f r e n	r I f r e n d
s n a r l	s n a r l d
v I Z u ɨ l Y z	v I Z u ɨ l Y z d
k l æ t R	k l æ t R d
d I s p æ C	d I s p æ C t
I m b r O d R	I m b r O d R d
f e n t	f e n t ɨ d
l I m p	l I m p t
w I T s t æ n d	w I T s t U d
æ v R I J	æ v R I J d
k ɨ n s R v	k ɨ n s R v d
g l Y d	g l Y d ɨ d
h Y l Y t	h Y l Y t ɨ d
r æ l i	r æ l i d
S I m R	S I m R d
T I k ɨ n	T I k ɨ n d
w Y n	w Y n d
k ɨ r E s	k ɨ r E s t
k l ʌ s t R	k l ʌ s t R d
d I s k r I m I n e t	d I s k r I m I n e t ɨ d
I n C æ n t	I n C æ n t ɨ d
s t E d i	s t E d i d
b æ n I S	b æ n I S t
C ʌ k ɨ l	C ʌ k ɨ l d
k o t	k o t ɨ d
k r W n	k r W n d
f a r m	f a r m d
l e b R	l e b R d
ɨ s I m ɨ l e t	ɨ s I m ɨ l e t ɨ d
b æ t	b æ t ɨ d
k a m p r ɨ m Y z	k a m p r ɨ m Y z d
d a t	d a t ɨ d
I n g ʌ l f	I n g ʌ l f t
I n r e J	I n r e J d
s k i	s k i d
s l æ S	s l æ S t
w i n	w i n d
b ʌ g	b ʌ g d
k ɨ m p l Y	k ɨ m p l Y d
k r E d I t	k r E d I t ɨ d
I n d W	I n d W d
h a r n I s	h a r n I s t
I n k R	I n k R d
n e l	n e l d
S i l d	S i l d ɨ d
s m i r	s m i r d
k ɨ n t r Y v	k ɨ n t r Y v d
d I s p j u t	d I s p j u t ɨ d
l E N T ɨ n	l E N T ɨ n d
s t r e	s t r e d
ʌ p h o l d	ʌ p h E l d
r E n C	r E n C t
b o l t	b o l t ɨ d
k ɨ r ʌ p t	k ɨ r ʌ p t ɨ d
s Y k ɨ l	s Y k ɨ l d
d ɔ n	d ɔ n d
g æ l ɨ p	g æ l ɨ p t
I n J E k t	I n J E k t ɨ d
m o r n	m o r n d
p r a d	p r a d ɨ d
v Y b r e t	v Y b r e t ɨ d
w e v R	w e v R d
b æ T	b æ T t
b r ɔ d ɨ n	b r ɔ d ɨ n d
d I t E s t	d I t E s t ɨ d
d I s r I g a r d	d I s r I g a r d ɨ d
Y	Y d
f ʌ s	f ʌ s t
g r W l	g r W l d
o v R h i r	o v R h R d
s k E C	s k E C t
s n i k	s n ʌ k
f æ n	f æ n d
g l I m p s	g l I m p s t
h Y t ɨ n	h Y t ɨ n d
n R C R	n R C R d
p æ n I k	p æ n I k t
s e f g a r d	s e f g a r d ɨ d
S e d	S e d ɨ d
ɨ f I l i e t	ɨ f I l i e t ɨ d
b W n d	b W n d ɨ d
b r u	b r u d
d Y ɨ g n o s	d Y ɨ g n o s t
d I R E n C i e t	d I R E n C i e t ɨ d
g r i s	g r i s t
h æ k	h æ k t
h I p n ɨ t Y z	h I p n ɨ t Y z d
m ɨ t i r i ɨ l Y z	m ɨ t i r i ɨ l Y z d
s m æ k	s m æ k t
s t o n	s t o n d
s ɨ k ʌ m	s ɨ k ʌ m d
T ʌ n d R	T ʌ n d R d
b a r	b a r d
b r e s	b r e s t
C e n	C e n d
C æ n ɨ l	C æ n ɨ l d
i r ʌ p t	i r ʌ p t ɨ d
p r a s p R	p r a s p R d
r Y v ɨ l	r Y v ɨ l d
s t I f ɨ n	s t I f ɨ n d
k o r t	k o r t ɨ d
d i m	d i m d
d r æ f t	d r æ f t ɨ d
I m b E d	I m b E d ɨ d
r e d i e t	r e d i e t ɨ d
r I J O s	r I J O s t
w E l d	w E l d ɨ d
k l ɔ	k l ɔ d
k ɨ n v R J	k ɨ n v R J d
f i l d	f i l d ɨ d
g r I l	g r I l d
I n s ɨ l e t	I n s ɨ l e t ɨ d
f e z	f e z d
s t r æ p	s t r æ p t
ɨ f R m	ɨ f R m d
ɨ s t W n d	ɨ s t W n d ɨ d
k o C	k o C t
k ɨ n s o l	k ɨ n s o l d
d I s m æ n t ɨ l	d I s m æ n t ɨ l d
m I l	m I l d
s l I N	s l ʌ N
s t r u	s t r u d
s R J	s R J d
æ n I m e t	æ n I m e t ɨ d
b a t ɨ l	b a t ɨ l d
b ʌ s ɨ l	b ʌ s ɨ l d
k ʌ l R	k ʌ l R d
m a p	m a p t
p r Y s	p r Y s t
r e k	r e k t
s m ʌ g ɨ l	s m ʌ g ɨ l d
s w a p	s w a p t
j R n	j R n d
ɨ f l I k t	ɨ f l I k t ɨ d
d i t e l	d i t e l d
p R p E C u e t	p R p E C u e t ɨ d
a r m	a r m d
b o r d R	b o r d R d
b r ɔ d k æ s t	b r ɔ d k æ s t ɨ d
C I p	C I p t
d I s a r m	d I s a r m d
E s k ɨ l e t	E s k ɨ l e t ɨ d
f l a p	f l a p t
h i p	h i p t
m ʌ s t R	m ʌ s t R d
p a p j U l e t	p a p j U l e t ɨ d
r I p r E s	r I p r E s t
S W R	S W R d
s w u p	s w u p t
t u r	t u r d
w I n s	w I n s t
b Y p æ s	b Y p æ s t
k W n s ɨ l	k W n s ɨ l d
d I t æ C	d I t æ C t
I m p a r t	I m p a r t ɨ d
l o D	l o D d
n i r	n i r d
o v R d u	o v R d I d
p E k	p E k t
p l E J	p l E J d
r I p ɨ l	r I p ɨ l d
s æ l v I J	s æ l v I J d
æ d h i r	æ d h i r d
b æ N k	b æ N k t
b l a t	b l a t ɨ d
