base	type	position	size	tr
ху лф е м	RTR	2	disyllabic	TRUE
 лф о м	RTR	2	monosyllabic	TRUE
ки л о фм	RTR	1	disyllabic	TRUE
лу л е фм	RTR	1	disyllabic	TRUE
ша лф е м	RTR	2	disyllabic	TRUE
ку лф о м	RTR	2	disyllabic	TRUE
 л о фм	RTR	1	monosyllabic	TRUE
 л о фм	RTR	1	monosyllabic	TRUE
ху л о ш	RT	0	disyllabic	FALSE
та л о ш	RT	0	disyllabic	FALSE
ха л е ш	RT	0	disyllabic	FALSE
 л о ш	RT	0	monosyllabic	FALSE
 л о ш	RT	0	monosyllabic	FALSE
шу л о ш	RT	0	disyllabic	FALSE
ру л о ш	RT	0	disyllabic	FALSE
 л о ш	RT	0	monosyllabic	FALSE
 л е ш	RT	0	monosyllabic	FALSE
хи л е ш	RT	0	disyllabic	FALSE
 л о ш	RT	0	monosyllabic	FALSE
 л е ш	RT	0	monosyllabic	FALSE
 л о ш	RT	0	monosyllabic	FALSE
хи л о ш	RT	0	disyllabic	FALSE
ка л е ш	RT	0	disyllabic	FALSE
ма л о ш	RT	0	disyllabic	FALSE
 л е ш	RT	0	monosyllabic	FALSE
та л о ш	RT	0	disyllabic	FALSE
 л е ш	RT	0	monosyllabic	FALSE
ги л е ш	RT	0	disyllabic	FALSE
 л е шл	RTR	1	monosyllabic	TRUE
 л е шл	RTR	1	monosyllabic	TRUE
 л е шл	RTR	1	monosyllabic	TRUE
 лш е л	RTR	2	monosyllabic	TRUE
 л о шл	RTR	1	monosyllabic	TRUE
ши л е шл	RTR	1	disyllabic	TRUE
ну л е шл	RTR	1	disyllabic	TRUE
 лш о л	RTR	2	monosyllabic	TRUE
ши лш е л	RTR	2	disyllabic	TRUE
ла лш е л	RTR	2	disyllabic	TRUE
 лш е л	RTR	2	monosyllabic	TRUE
ти л е шл	RTR	1	disyllabic	TRUE
 лш е л	RTR	2	monosyllabic	TRUE
хи л е шл	RTR	1	disyllabic	TRUE
би лш е л	RTR	2	disyllabic	TRUE
 лш е л	RTR	2	monosyllabic	TRUE
жи лш е м	RTR	2	disyllabic	TRUE
ли л е шм	RTR	1	disyllabic	TRUE
жа лш е м	RTR	2	disyllabic	TRUE
 лш о м	RTR	2	monosyllabic	TRUE
 лш е м	RTR	2	monosyllabic	TRUE
ка лш е м	RTR	2	disyllabic	TRUE
 л е шм	RTR	1	monosyllabic	TRUE
ба лш о м	RTR	2	disyllabic	TRUE
зу л о шм	RTR	1	disyllabic	TRUE
ма лш е м	RTR	2	disyllabic	TRUE
 лш о м	RTR	2	monosyllabic	TRUE
су л о шм	RTR	1	disyllabic	TRUE
 лш е м	RTR	2	monosyllabic	TRUE
 лш е м	RTR	2	monosyllabic	TRUE
 лш о м	RTR	2	monosyllabic	TRUE
 л е шм	RTR	1	monosyllabic	TRUE
 л е шм	RTR	1	monosyllabic	TRUE
пу л о шм	RTR	1	disyllabic	TRUE
 л е шн	RTR	1	monosyllabic	TRUE
ху л о шн	RTR	1	disyllabic	TRUE
шу л о шн	RTR	1	disyllabic	TRUE
зу лш е н	RTR	2	disyllabic	TRUE
ку л е шн	RTR	1	disyllabic	TRUE
 лш е н	RTR	2	monosyllabic	TRUE
ти лш е н	RTR	2	disyllabic	TRUE
су л е шн	RTR	1	disyllabic	TRUE
ку лш о н	RTR	2	disyllabic	TRUE
 лш о н	RTR	2	monosyllabic	TRUE
си лш о н	RTR	2	disyllabic	TRUE
 лш е н	RTR	2	monosyllabic	TRUE
 лш е н	RTR	2	monosyllabic	TRUE
 лш о н	RTR	2	monosyllabic	TRUE
 л е шн	RTR	1	monosyllabic	TRUE
ху лш о н	RTR	2	disyllabic	TRUE
си лш е р	RTR	2	disyllabic	TRUE
 л е шр	RTR	1	monosyllabic	TRUE
ка л е шр	RTR	1	disyllabic	TRUE
ку лш о р	RTR	2	disyllabic	TRUE
му л о шр	RTR	1	disyllabic	TRUE
би лш о р	RTR	2	disyllabic	TRUE
 л е шр	RTR	1	monosyllabic	TRUE
 л о шр	RTR	1	monosyllabic	TRUE
 лш о р	RTR	2	monosyllabic	TRUE
ку л е шр	RTR	1	disyllabic	TRUE
 л о шр	RTR	1	monosyllabic	TRUE
 л о шр	RTR	1	monosyllabic	TRUE
би лш о р	RTR	2	disyllabic	TRUE
 л о шр	RTR	1	monosyllabic	TRUE
ки м о б	RT	0	disyllabic	FALSE
 м о б	RT	0	monosyllabic	FALSE
 м о б	RT	0	monosyllabic	FALSE
ха м о б	RT	0	disyllabic	FALSE
 м е б	RT	0	monosyllabic	FALSE
бу м о б	RT	0	disyllabic	FALSE
 м о б	RT	0	monosyllabic	FALSE
жу м е б	RT	0	disyllabic	FALSE
га м е б	RT	0	disyllabic	FALSE
шу м о б	RT	0	disyllabic	FALSE
 м е б	RT	0	monosyllabic	FALSE
ха м е б	RT	0	disyllabic	FALSE
зи м е б	RT	0	disyllabic	FALSE
 м о б	RT	0	monosyllabic	FALSE
та м е б	RT	0	disyllabic	FALSE
 м о б	RT	0	monosyllabic	FALSE
та м о б	RT	0	disyllabic	FALSE
жу м е б	RT	0	disyllabic	FALSE
 м е б	RT	0	monosyllabic	FALSE
ру м е б	RT	0	disyllabic	FALSE
 м е б	RT	0	monosyllabic	FALSE
 м о б	RT	0	monosyllabic	FALSE
 м е б	RT	0	monosyllabic	FALSE
 м е б	RT	0	monosyllabic	FALSE
 м о б	RT	0	monosyllabic	FALSE
 мб е в	RTR	2	monosyllabic	TRUE
 м е бв	RTR	1	monosyllabic	TRUE
ка мб о в	RTR	2	disyllabic	TRUE
 мб о в	RTR	2	monosyllabic	TRUE
 мб е в	RTR	2	monosyllabic	TRUE
 мб е в	RTR	2	monosyllabic	TRUE
 м е бв	RTR	1	monosyllabic	TRUE
су мб о в	RTR	2	disyllabic	TRUE
бу м е бв	RTR	1	disyllabic	TRUE
зи мб о в	RTR	2	disyllabic	TRUE
ла м о в	RR	0	disyllabic	FALSE
ми м е в	RR	0	disyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
ша м о в	RR	0	disyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
ки м е в	RR	0	disyllabic	FALSE
ли м о в	RR	0	disyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
пи м о в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
ла м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
шу м о в	RR	0	disyllabic	FALSE
ну м о в	RR	0	disyllabic	FALSE
ша м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
хи м е в	RR	0	disyllabic	FALSE
ту м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
жа м е в	RR	0	disyllabic	FALSE
си м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
ки м е в	RR	0	disyllabic	FALSE
ту м о в	RR	0	disyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
ту м е в	RR	0	disyllabic	FALSE
шу м о в	RR	0	disyllabic	FALSE
лу м о в	RR	0	disyllabic	FALSE
зи м е в	RR	0	disyllabic	FALSE
пи м о в	RR	0	disyllabic	FALSE
ла м о в	RR	0	disyllabic	FALSE
ли м о в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
си м е в	RR	0	disyllabic	FALSE
ма м е в	RR	0	disyllabic	FALSE
ли м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
гу м е в	RR	0	disyllabic	FALSE
ши м о в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
су м е в	RR	0	disyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
хи м о в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
ти м о в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
ки м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
бу м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
ку м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
ба м е в	RR	0	disyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
ти м о в	RR	0	disyllabic	FALSE
пу м о в	RR	0	disyllabic	FALSE
зу м е в	RR	0	disyllabic	FALSE
си м е в	RR	0	disyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
зу м е в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м е в	RR	0	monosyllabic	FALSE
ра м о в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
жа м о в	RR	0	disyllabic	FALSE
пи м о в	RR	0	disyllabic	FALSE
 м о в	RR	0	monosyllabic	FALSE
 м о г	RT	0	monosyllabic	FALSE
 м о г	RT	0	monosyllabic	FALSE
 м о г	RT	0	monosyllabic	FALSE
зу м о г	RT	0	disyllabic	FALSE
ги м о г	RT	0	disyllabic	FALSE
 м о г	RT	0	monosyllabic	FALSE
жу м е г	RT	0	disyllabic	FALSE
 м е г	RT	0	monosyllabic	FALSE
ми м е г	RT	0	disyllabic	FALSE
ми м е г	RT	0	disyllabic	FALSE
пи м е г	RT	0	disyllabic	FALSE
ри м о г	RT	0	disyllabic	FALSE
ки м о г	RT	0	disyllabic	FALSE
ки м о г	RT	0	disyllabic	FALSE
 м е г	RT	0	monosyllabic	FALSE
ми м о г	RT	0	disyllabic	FALSE
шу м о г	RT	0	disyllabic	FALSE
ку м о г	RT	0	disyllabic	FALSE
ти м о г	RT	0	disyllabic	FALSE
 м е г	RT	0	monosyllabic	FALSE
 м о гв	RTR	1	monosyllabic	TRUE
 м е гв	RTR	1	monosyllabic	TRUE
 мг е в	RTR	2	monosyllabic	TRUE
га мг о в	RTR	2	disyllabic	TRUE
га мг о в	RTR	2	disyllabic	TRUE
 м е гв	RTR	1	monosyllabic	TRUE
лу мг о в	RTR	2	disyllabic	TRUE
 м о гв	RTR	1	monosyllabic	TRUE
 мг о в	RTR	2	monosyllabic	TRUE
ра м е гв	RTR	1	disyllabic	TRUE
 м о гв	RTR	1	monosyllabic	TRUE
 мг о в	RTR	2	monosyllabic	TRUE
 мг о в	RTR	2	monosyllabic	TRUE
 мг о в	RTR	2	monosyllabic	TRUE
ли мг е в	RTR	2	disyllabic	TRUE
лу м е гв	RTR	1	disyllabic	TRUE
ку м о гв	RTR	1	disyllabic	TRUE
 мг о в	RTR	2	monosyllabic	TRUE
су м о гм	RTR	1	disyllabic	TRUE
 м о гм	RTR	1	monosyllabic	TRUE
ли мг о м	RTR	2	disyllabic	TRUE
 м о гм	RTR	1	monosyllabic	TRUE
си мг о м	RTR	2	disyllabic	TRUE
та м е гм	RTR	1	disyllabic	TRUE
та мг е м	RTR	2	disyllabic	TRUE
пу м о гм	RTR	1	disyllabic	TRUE
ли мг е м	RTR	2	disyllabic	TRUE
гу м е гм	RTR	1	disyllabic	TRUE
 м о гм	RTR	1	monosyllabic	TRUE
 мг е м	RTR	2	monosyllabic	TRUE
 м е гм	RTR	1	monosyllabic	TRUE
 мг о м	RTR	2	monosyllabic	TRUE
 мг е р	RTR	2	monosyllabic	TRUE
 мг е р	RTR	2	monosyllabic	TRUE
 мг е р	RTR	2	monosyllabic	TRUE
ма м е гр	RTR	1	disyllabic	TRUE
 м о гр	RTR	1	monosyllabic	TRUE
 м е гр	RTR	1	monosyllabic	TRUE
ба м о гр	RTR	1	disyllabic	TRUE
 м о гр	RTR	1	monosyllabic	TRUE
ру м е гр	RTR	1	disyllabic	TRUE
му мг о р	RTR	2	disyllabic	TRUE
 м е з	RT	0	monosyllabic	FALSE
та м о з	RT	0	disyllabic	FALSE
пу м е з	RT	0	disyllabic	FALSE
 м о з	RT	0	monosyllabic	FALSE
 м е з	RT	0	monosyllabic	FALSE
 м о з	RT	0	monosyllabic	FALSE
жи м о з	RT	0	disyllabic	FALSE
 м е з	RT	0	monosyllabic	FALSE
ти м о з	RT	0	disyllabic	FALSE
 м е з	RT	0	monosyllabic	FALSE
 м е з	RT	0	monosyllabic	FALSE
ги м о з	RT	0	disyllabic	FALSE
 м о з	RT	0	monosyllabic	FALSE
 м о з	RT	0	monosyllabic	FALSE
жа м е з	RT	0	disyllabic	FALSE
ну м о з	RT	0	disyllabic	FALSE
 м е зм	RTR	1	monosyllabic	TRUE
ри мз о м	RTR	2	disyllabic	TRUE
 мз е м	RTR	2	monosyllabic	TRUE
 м о зм	RTR	1	monosyllabic	TRUE
 мз е м	RTR	2	monosyllabic	TRUE
 м е зм	RTR	1	monosyllabic	TRUE
 мз е м	RTR	2	monosyllabic	TRUE
шу мз е м	RTR	2	disyllabic	TRUE
 м е зм	RTR	1	monosyllabic	TRUE
 м е зм	RTR	1	monosyllabic	TRUE
 м е зм	RTR	1	monosyllabic	TRUE
 м е зм	RTR	1	monosyllabic	TRUE
му мз о н	RTR	2	disyllabic	TRUE
бу м о зн	RTR	1	disyllabic	TRUE
 м е зн	RTR	1	monosyllabic	TRUE
 мз о н	RTR	2	monosyllabic	TRUE
 мз е н	RTR	2	monosyllabic	TRUE
 м е зн	RTR	1	monosyllabic	TRUE
гу мз о н	RTR	2	disyllabic	TRUE
 мз е н	RTR	2	monosyllabic	TRUE
 мз е н	RTR	2	monosyllabic	TRUE
гу м о зн	RTR	1	disyllabic	TRUE
би м е зн	RTR	1	disyllabic	TRUE
 м е зн	RTR	1	monosyllabic	TRUE
 м е зн	RTR	1	monosyllabic	TRUE
ну мз о н	RTR	2	disyllabic	TRUE
 м о зр	RTR	1	monosyllabic	TRUE
 м о зр	RTR	1	monosyllabic	TRUE
пи мз е р	RTR	2	disyllabic	TRUE
ра мз е р	RTR	2	disyllabic	TRUE
 мз о р	RTR	2	monosyllabic	TRUE
 м о зр	RTR	1	monosyllabic	TRUE
ка мз о р	RTR	2	disyllabic	TRUE
 м о зр	RTR	1	monosyllabic	TRUE
пи мз е р	RTR	2	disyllabic	TRUE
 мз е р	RTR	2	monosyllabic	TRUE
ри мз о р	RTR	2	disyllabic	TRUE
 м о зр	RTR	1	monosyllabic	TRUE
 мз о р	RTR	2	monosyllabic	TRUE
шу м е зр	RTR	1	disyllabic	TRUE
 мз е р	RTR	2	monosyllabic	TRUE
 м о н	RR	0	monosyllabic	FALSE
ра м о н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
пу м о н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
ба м о н	RR	0	disyllabic	FALSE
га м е н	RR	0	disyllabic	FALSE
ку м е н	RR	0	disyllabic	FALSE
пи м о н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
ли м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
би м о н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
ра м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
ти м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
зу м е н	RR	0	disyllabic	FALSE
му м о н	RR	0	disyllabic	FALSE
ша м о н	RR	0	disyllabic	FALSE
ли м о н	RR	0	disyllabic	FALSE
ла м е н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
ба м о н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
си м е н	RR	0	disyllabic	FALSE
ки м о н	RR	0	disyllabic	FALSE
жу м о н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
ти м е н	RR	0	disyllabic	FALSE
ри м е н	RR	0	disyllabic	FALSE
ки м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
хи м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
жу м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
жу м о н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
ша м е н	RR	0	disyllabic	FALSE
пи м е н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
бу м о н	RR	0	disyllabic	FALSE
ми м е н	RR	0	disyllabic	FALSE
ба м е н	RR	0	disyllabic	FALSE
бу м о н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
ша м о н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
ку м е н	RR	0	disyllabic	FALSE
пи м о н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
пи м е н	RR	0	disyllabic	FALSE
му м о н	RR	0	disyllabic	FALSE
бу м е н	RR	0	disyllabic	FALSE
пу м е н	RR	0	disyllabic	FALSE
ка м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
су м е н	RR	0	disyllabic	FALSE
лу м о н	RR	0	disyllabic	FALSE
ху м о н	RR	0	disyllabic	FALSE
ра м е н	RR	0	disyllabic	FALSE
 м е н	RR	0	monosyllabic	FALSE
ма м е н	RR	0	disyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
 м о н	RR	0	monosyllabic	FALSE
ми м е н	RR	0	disyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
ну м о п	RT	0	disyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
ха м е п	RT	0	disyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
 м о п	RT	0	monosyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
 м о п	RT	0	monosyllabic	FALSE
гу м е п	RT	0	disyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
ка м о п	RT	0	disyllabic	FALSE
зу м о п	RT	0	disyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
 м о п	RT	0	monosyllabic	FALSE
 м е п	RT	0	monosyllabic	FALSE
ри м е п	RT	0	disyllabic	FALSE
 м о пв	RTR	1	monosyllabic	TRUE
 мп о в	RTR	2	monosyllabic	TRUE
му мп е в	RTR	2	disyllabic	TRUE
ти м е пв	RTR	1	disyllabic	TRUE
ху мп о в	RTR	2	disyllabic	TRUE
 мп е в	RTR	2	monosyllabic	TRUE
 м о пв	RTR	1	monosyllabic	TRUE
шу м о пв	RTR	1	disyllabic	TRUE
си мп о в	RTR	2	disyllabic	TRUE
зи м е пв	RTR	1	disyllabic	TRUE
зу мп о в	RTR	2	disyllabic	TRUE
хи м е пв	RTR	1	disyllabic	TRUE
 мп е в	RTR	2	monosyllabic	TRUE
ха мп е в	RTR	2	disyllabic	TRUE
ма мп е в	RTR	2	disyllabic	TRUE
гу м е пв	RTR	1	disyllabic	TRUE
му мп о в	RTR	2	disyllabic	TRUE
 м о пв	RTR	1	monosyllabic	TRUE
 мп о в	RTR	2	monosyllabic	TRUE
ру м е пм	RTR	1	disyllabic	TRUE
ри мп е м	RTR	2	disyllabic	TRUE
га м о пм	RTR	1	disyllabic	TRUE
 м е пм	RTR	1	monosyllabic	TRUE
 м о пм	RTR	1	monosyllabic	TRUE
 мп о м	RTR	2	monosyllabic	TRUE
 мп е м	RTR	2	monosyllabic	TRUE
хи м о пм	RTR	1	disyllabic	TRUE
шу мп е м	RTR	2	disyllabic	TRUE
пу м е пм	RTR	1	disyllabic	TRUE
гу мп е м	RTR	2	disyllabic	TRUE
си мп е м	RTR	2	disyllabic	TRUE
 мп о м	RTR	2	monosyllabic	TRUE
пи мп о м	RTR	2	disyllabic	TRUE
 м е пм	RTR	1	monosyllabic	TRUE
 мп е м	RTR	2	monosyllabic	TRUE
 мп о р	RTR	2	monosyllabic	TRUE
ма м о пр	RTR	1	disyllabic	TRUE
ши м е пр	RTR	1	disyllabic	TRUE
ра мп о р	RTR	2	disyllabic	TRUE
пу мп о р	RTR	2	disyllabic	TRUE
лу м о пр	RTR	1	disyllabic	TRUE
 м о пр	RTR	1	monosyllabic	TRUE
ки м о пр	RTR	1	disyllabic	TRUE
ха мп е р	RTR	2	disyllabic	TRUE
хи м е пр	RTR	1	disyllabic	TRUE
 м е пр	RTR	1	monosyllabic	TRUE
 мп е р	RTR	2	monosyllabic	TRUE
 м о пр	RTR	1	monosyllabic	TRUE
 мп е р	RTR	2	monosyllabic	TRUE
пи м е пр	RTR	1	disyllabic	TRUE
шу м е пр	RTR	1	disyllabic	TRUE
 мп о р	RTR	2	monosyllabic	TRUE
 мп о р	RTR	2	monosyllabic	TRUE
ти м е пр	RTR	1	disyllabic	TRUE
зу м е с	RT	0	disyllabic	FALSE
су м е с	RT	0	disyllabic	FALSE
ма м е с	RT	0	disyllabic	FALSE
ру м е с	RT	0	disyllabic	FALSE
ха м е с	RT	0	disyllabic	FALSE
 м е с	RT	0	monosyllabic	FALSE
бу м о с	RT	0	disyllabic	FALSE
ма м е с	RT	0	disyllabic	FALSE
 м е с	RT	0	monosyllabic	FALSE
та м о с	RT	0	disyllabic	FALSE
ха м о с	RT	0	disyllabic	FALSE
 м е с	RT	0	monosyllabic	FALSE
ли м е с	RT	0	disyllabic	FALSE
 м е с	RT	0	monosyllabic	FALSE
 м о с	RT	0	monosyllabic	FALSE
ру м о с	RT	0	disyllabic	FALSE
 м е с	RT	0	monosyllabic	FALSE
ки м е с	RT	0	disyllabic	FALSE
 м о с	RT	0	monosyllabic	FALSE
 м о с	RT	0	monosyllabic	FALSE
 м е с	RT	0	monosyllabic	FALSE
 м о с	RT	0	monosyllabic	FALSE
ри м о ф	RT	0	disyllabic	FALSE
 м о ф	RT	0	monosyllabic	FALSE
ми м о ф	RT	0	disyllabic	FALSE
 м о ф	RT	0	monosyllabic	FALSE
 м о ф	RT	0	monosyllabic	FALSE
ха м е ф	RT	0	disyllabic	FALSE
 м е ф	RT	0	monosyllabic	FALSE
ги м о ф	RT	0	disyllabic	FALSE
 м е ф	RT	0	monosyllabic	FALSE
ра м е ф	RT	0	disyllabic	FALSE
 м о ф	RT	0	monosyllabic	FALSE
 м е ф	RT	0	monosyllabic	FALSE
пу м е ф	RT	0	disyllabic	FALSE
бу м е ф	RT	0	disyllabic	FALSE
ку м о ф	RT	0	disyllabic	FALSE
 м о ф	RT	0	monosyllabic	FALSE
 м о ф	RT	0	monosyllabic	FALSE
 м е ф	RT	0	monosyllabic	FALSE
ла м о ф	RT	0	disyllabic	FALSE
ру м е ф	RT	0	disyllabic	FALSE
 м е ф	RT	0	monosyllabic	FALSE
 м о ф	RT	0	monosyllabic	FALSE
ка мф е в	RTR	2	disyllabic	TRUE
жа мф о в	RTR	2	disyllabic	TRUE
шу мф о в	RTR	2	disyllabic	TRUE
ру м о фв	RTR	1	disyllabic	TRUE
 мф о в	RTR	2	monosyllabic	TRUE
 мф о в	RTR	2	monosyllabic	TRUE
ма мф о в	RTR	2	disyllabic	TRUE
 мф е в	RTR	2	monosyllabic	TRUE
лу м о фв	RTR	1	disyllabic	TRUE
 м о фв	RTR	1	monosyllabic	TRUE
ки м е фв	RTR	1	disyllabic	TRUE
гу м о фв	RTR	1	disyllabic	TRUE
 м е фв	RTR	1	monosyllabic	TRUE
 мф е в	RTR	2	monosyllabic	TRUE
ми мф о в	RTR	2	disyllabic	TRUE
та м е фв	RTR	1	disyllabic	TRUE
 м е фв	RTR	1	monosyllabic	TRUE
ла мф о в	RTR	2	disyllabic	TRUE
 м о фв	RTR	1	monosyllabic	TRUE
 мф е м	RTR	2	monosyllabic	TRUE
 мф о м	RTR	2	monosyllabic	TRUE
ша м о фм	RTR	1	disyllabic	TRUE
 м о фм	RTR	1	monosyllabic	TRUE
 мф е м	RTR	2	monosyllabic	TRUE
хи мф е м	RTR	2	disyllabic	TRUE
 мф е м	RTR	2	monosyllabic	TRUE
га мф е м	RTR	2	disyllabic	TRUE
 мф е м	RTR	2	monosyllabic	TRUE
ли м о фм	RTR	1	disyllabic	TRUE
 мф е м	RTR	2	monosyllabic	TRUE
ги м о ш	RT	0	disyllabic	FALSE
жу м о ш	RT	0	disyllabic	FALSE
 м о ш	RT	0	monosyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
ла м о ш	RT	0	disyllabic	FALSE
 м о ш	RT	0	monosyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
ра м о ш	RT	0	disyllabic	FALSE
ка м е ш	RT	0	disyllabic	FALSE
 м о ш	RT	0	monosyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
си м о ш	RT	0	disyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
 м о ш	RT	0	monosyllabic	FALSE
ри м е ш	RT	0	disyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
би м е ш	RT	0	disyllabic	FALSE
ну м о ш	RT	0	disyllabic	FALSE
ка м е ш	RT	0	disyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
ки м е ш	RT	0	disyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
 м е ш	RT	0	monosyllabic	FALSE
си м о шл	RTR	1	disyllabic	TRUE
му м е шл	RTR	1	disyllabic	TRUE
ти мш о л	RTR	2	disyllabic	TRUE
 мш о л	RTR	2	monosyllabic	TRUE
ну м е шл	RTR	1	disyllabic	TRUE
 мш е л	RTR	2	monosyllabic	TRUE
 м е шл	RTR	1	monosyllabic	TRUE
лу м о шл	RTR	1	disyllabic	TRUE
 м о шл	RTR	1	monosyllabic	TRUE
 м е шл	RTR	1	monosyllabic	TRUE
ки мш е л	RTR	2	disyllabic	TRUE
 м е шл	RTR	1	monosyllabic	TRUE
