item	nak	nek	naknek
k a m a t o k	367	0	1.000
k a m E l e o n	49	0	1.000
k a m i o n	373	0	1.000
k a m p A ny	2410	0	1.000
k a m p O	24	0	1.000
k a n	227	0	1.000
k A n	152	0	1.000
k A n a A n	72	0	1.000
k a n A l	48	0	1.000
k a n a p E	29	0	1.000
k a n A r i	31	0	1.000
k a n c e l l A r	667	0	1.000
k a n cs a l s A g	14	0	1.000
k a n cs O	49	0	1.000
k a n d a l l O	82	0	1.000
k a n d i d A t u s	31	0	1.000
k a n k a l i n	12	0	1.000
k a n n i b A l	72	0	1.000
k a n O c	43	0	1.000
k A n o n	241	0	1.000
k a n o n o k	175	0	1.000
k A n t A l A s	13	0	1.000
k a n t i n	24	0	1.000
k a n t i n o s	10	0	1.000
k a n t o n	73	0	1.000
k a ny a r	122	0	1.000
k a ny a r O	18	0	1.000
k a ny a r u l a t	14	0	1.000
k a ny o n	30	0	1.000
k A o sz	410	0	1.000
k a o t i k u s	423	0	1.000
k a p a	71	0	1.000
k a p a c i t A s	370	0	1.000
k a p a r A s	7	0	1.000
k a p A s	54	0	1.000
k a p a sz k o d A s	40	0	1.000
k a p a sz k o d O	130	0	1.000
k a p a t o s	13	0	1.000
k a p c a b e ty A r	13	0	1.000
k a p cs o l A s	109	0	1.000
k a p cs o l a t	6550	0	1.000
k a p cs o l a t a	12100	0	1.000
k a p cs o l a t o s	53	0	1.000
k a p cs o l O	302	0	1.000
k a p cs o l O d A s	125	0	1.000
k a p cs o l O d O	75	0	1.000
k a p cs o l t	56	0	1.000
k a p i t A ny	3670	0	1.000
k a p i t A ny s A g	157	0	1.000
k a p k o d A s	166	0	1.000
k a p k o d O	43	0	1.000
k A p l A n	299	0	1.000
k A p l A r	72	0	1.000
k a p o cs	233	0	1.000
k a p o k	15	0	1.000
k a p o r	129	0	1.000
k a p O s	32	0	1.000
k a p p a n	28	0	1.000
k A p r A z a t	110	0	1.000
k A p r A z a t o s	31	0	1.000
k A p t a l a n	440	0	1.000
k a p u	768	0	1.000
k a p u s	5490	0	1.000
k a p zs i	115	0	1.000
k a p zs i s A g	122	0	1.000
k a r	3140	0	1.000
k A r	650	0	1.000
k a r a b E ly	7	0	1.000
k a r a k A n	15	0	1.000
k a r a l A b E	26	0	1.000
k a r A m	34	0	1.000
k a r a m b o l	120	0	1.000
k a r b o n A t	20	0	1.000
k a r b u r A t o r	27	0	1.000
k a r c o l A s	59	0	1.000
k a r c o l a t	13	0	1.000
k a r c o s	22	0	1.000
k a r cs U	250	0	1.000
k a r d	515	0	1.000
k a r d o s	36	0	1.000
k a r f i o l	38	0	1.000
k A r h o z a t o s	48	0	1.000
k a r j a	706	0	1.000
k a r n e v A l	128	0	1.000
k a r O	81	0	1.000
k a r o m	86	0	1.000
k A r o m k o d A s	100	0	1.000
k a r o s	79	0	1.000
k A r o s	2560	0	1.000
k A r o s o d A s	221	0	1.000
k A r p i t	56	0	1.000
k A r p i t o s	24	0	1.000
k a r sz t	22	0	1.000
k a r sz t o s o d A s	8	0	1.000
k A r t E k o ny	199	0	1.000
k a r t o n	58	0	1.000
k A r ty A k	543	0	1.000
k A r ty A m	23	0	1.000
k A r ty A s	33	0	1.000
k A r ty A z A s	20	0	1.000
k a r v a ly	21	0	1.000
k a r z a t	63	0	1.000
k a s	20	0	1.000
k A s A s	29	0	1.000
k a s m I r	9	0	1.000
k a sz A l A s	37	0	1.000
k a sz A l O	110	0	1.000
k a sz A s	97	0	1.000
k a sz i n O	239	0	1.000
k a sz n i	15	0	1.000
k a sz t	333	0	1.000
k a t a l O g u s	254	0	1.000
k a t a p u l t	10	0	1.000
k a t a r z i s	81	0	1.000
k a t e k i z m u s	31	0	1.000
k a t l a n	40	0	1.000
k a t O d	35	0	1.000
k a t o l i k u s	1790	0	1.000
k a t o n a	9540	0	1.000
k a t o n A k	4870	0	1.000
k a t o n A s	45	0	1.000
k a t o n a s A g	651	0	1.000
k A t r A ny	17	0	1.000
k a u cs u k	20	0	1.000
k a u k A z u s	37	0	1.000
k a v a r A s	21	0	1.000
k a v a r g A s	18	0	1.000
k a v a r o d A s	19	0	1.000
k A v E z O	115	0	1.000
k a v i A r	29	0	1.000
k a v i cs	90	0	1.000
k a z A n	81	0	1.000
k e n u	31	0	1.000
k E ny sz e r z u b b o ny	14	0	1.000
k E ny U r	31	0	1.000
k e r E k p A r U t	88	0	1.000
k e r u b	17	0	1.000
k E t a j t O s	6	0	1.000
k E t b a l l A b a s	4	0	1.000
k e t ch u p	9	0	1.000
k E t p O l u s U	16	0	1.000
k I gy O	666	0	1.000
k I n	301	0	1.000
k I n A l a t	410	0	1.000
k I n o s	474	0	1.000
k I n z A s	521	0	1.000
k I n z O	25	0	1.000
k I v A n a t o s	6500	0	1.000
k I v A n cs i s A g	247	0	1.000
k I v A n O	39	0	1.000
k I v A n s A g	466	0	1.000
k I v A n s A g o m	53	0	1.000
k I v A n t	43	0	1.000
k l A n	829	0	1.000
k l a s sz	56	0	1.000
k l a s sz i k u s	3760	0	1.000
k l a s sz i k u s o k	172	0	1.000
k l a s sz i s	263	0	1.000
k l E r u s	141	0	1.000
k l i m a k s	23	0	1.000
k l O r	44	0	1.000
k l o r i d	43	0	1.000
k l u b	6350	0	1.000
k o b a k	15	0	1.000
k o b a l t	20	0	1.000
k o b o l d	31	0	1.000
k O b o r	13	0	1.000
k O b o r l A s	12	0	1.000
k O b o r l O	39	0	1.000
k o b z o s	23	0	1.000
k o c c a n A s	24	0	1.000
k o c k a	291	0	1.000
k o c k A k	71	0	1.000
k o c k A z a t	854	0	1.000
k o c k A z a t o s	701	0	1.000
k o c o g A s	25	0	1.000
k o cs i j a	606	0	1.000
k o cs i k A z A s	12	0	1.000
k o cs i s	733	0	1.000
k o cs m a	260	0	1.000
k o cs o ny a	57	0	1.000
k O d	709	0	1.000
k o h A sz	46	0	1.000
k o h A sz a t	53	0	1.000
k o h E z i O	84	0	1.000
k o h O	38	0	1.000
k o h o l m A ny	118	0	1.000
k o k a i n	87	0	1.000
k o k O	398	0	1.000
k o k o t t	15	0	1.000
k o k sz	14	0	1.000
k O k u sz	32	0	1.000
k o l b A sz	180	0	1.000
k o l d u l O	8	0	1.000
k o l d u s	947	0	1.000
k o l l a b o r A n s	116	0	1.000
k o l l A zs	9	0	1.000
k o l l e g A k	569	0	1.000
k o l l E g A m	841	0	1.000
k o l l E g i u m	1920	0	1.000
k o l o m p A r	49	0	1.000
k o l o n c	70	0	1.000
k o l o s t o r	618	0	1.000
k o m a	227	0	1.000
k o m b A j n	20	0	1.000
k o m E d i A s	168	0	1.000
k o m f o r t	51	0	1.000
k o m i k u m	95	0	1.000
k o m i k u s	596	0	1.000
k o m i sz	18	0	1.000
k o m l O	53	0	1.000
k o m m a n d O	108	0	1.000
k o m m e n t A r	105	0	1.000
k o m m u n a	11	0	1.000
k o m m u n i s t a	675	0	1.000
k o m m u n i z m u s	620	0	1.000
k o m o ly	2740	0	1.000
k o m o ly a b b	700	0	1.000
k o m o ly s A g	115	0	1.000
k o m o ly t a l a n	747	0	1.000
k o m o r	148	0	1.000
k o m o r ny i k	129	0	1.000
k o m o r s A g	11	0	1.000
k o m p	69	0	1.000
k o m p e n z A l A s	27	0	1.000
k o m p l e k s u s	86	0	1.000
k o m p l i k A l t	197	0	1.000
k o m p r e s sz o r	77	0	1.000
k o m p r o m i s sz u m	588	0	1.000
k o n c	76	0	1.000
k o n c e n t r A l A s	13	0	1.000
k o n c e n t r A l t	36	0	1.000
k o n c e n t r A t u m	19	0	1.000
k o n c e s sz i O	50	0	1.000
k o n d e n z A t o r	72	0	1.000
k o n d I c i O	92	0	1.000
k o n d o r	50	0	1.000
k o n f l i k t u s	895	0	1.000
k o n f l i k t u s o k	552	0	1.000
k o n g O	35	0	1.000
k o n g r e s sz u s	1690	0	1.000
k o n k A v	17	0	1.000
k o n n e k t o r	19	0	1.000
k o n o k	28	0	1.000
k o n o k s A g	28	0	1.000
k o n s t a n s	234	0	1.000
k o n s t r u k c i O	700	0	1.000
k o n sz o n A n s	12	0	1.000
k o n t A r	97	0	1.000
k o n t i n u u m	55	0	1.000
k o n t r a sz t	96	0	1.000
k o n t U r	29	0	1.000
k o n ty	13	0	1.000
k o n v e k c i O	25	0	1.000
k o n v e n c i O	444	0	1.000
k o n v e n c i O k	213	0	1.000
k o n v e r g A l	209	0	1.000
k o n v e r t A l	55	0	1.000
k o n v e r t A l A s	15	0	1.000
k o n v i k t u s	16	0	1.000
k o n v o j	51	0	1.000
k o ny a k	42	0	1.000
k o ny h a	609	0	1.000
k oe ny v e s p o l c	54	0	1.000
k o n z e r v A l A s	18	0	1.000
k o n z I l i u m	15	0	1.000
k o n z o l	213	0	1.000
k o n z o l o s	10	0	1.000
k o n z o r c i u m	714	0	1.000
k o n z u l	290	0	1.000
k o n z u l t A n s	31	0	1.000
k o p A r	58	0	1.000
k o p A s	296	0	1.000
k o p a sz	248	0	1.000
k o p a sz s A g	12	0	1.000
k O p E	28	0	1.000
k O p E s A g	10	0	1.000
k o p O	41	0	1.000
k o p o g O s	9	0	1.000
k o p o g t a t A s	15	0	1.000
k o p o g t a t O	12	0	1.000
k o p o ny a	131	0	1.000
k o p o r s O	163	0	1.000
k o p o t t	102	0	1.000
k o p o t t a s	14	0	1.000
k o p p i n t A s	42	0	1.000
k O r	558	0	1.000
k o r a l l	12	0	1.000
k o r A n	107	0	1.000
k o r b A cs	26	0	1.000
k o r cs	57	0	1.000
k o r cs o ly A z A s	28	0	1.000
k o r cs o ly A z O	12	0	1.000
k o r d o n	45	0	1.000
k o r e a	5780	0	1.000
k o r h a d A s	64	0	1.000
k o r h o l A s	10	0	1.000
k o r l A t l a n	258	0	1.000
k o r l A t o k	311	0	1.000
k o r l A t o l t s A g	51	0	1.000
k o r l A t o z A s	568	0	1.000
k o r l A t o z O	73	0	1.000
k o r m A ny o k	2580	0	1.000
k o r m A ny o s	182	0	1.000
k o r m A ny o z	809	0	1.000
k o r m A ny z A s	451	0	1.000
k o r m A ny z a t	6050	0	1.000
k o r m A ny z O	735	0	1.000
k o r o n a	1510	0	1.000
k o r o n g	19000	0	1.000
k O r o s	379	0	1.000
k o r r u p c i O	728	0	1.000
k o r r u p t	302	0	1.000
k o r s O	106	0	1.000
k o r t a l a n	67	0	1.000
k o r ty	10	0	1.000
k o r U	157	0	1.000
k O r u s	626	0	1.000
k o r z O	32	0	1.000
k o s	325	0	1.000
k o s A r	118	0	1.000
k o s A r f o n A s	24	0	1.000
k O s t o l O	109	0	1.000
k o sz	52	0	1.000
k O sz A l A s	10	0	1.000
k o sz o r U	187	0	1.000
k o sz o s	109	0	1.000
k o sz t	30	0	1.000
k o t l O s	16	0	1.000
k o t o n	8	0	1.000
k o t r O	7	0	1.000
k o t t a	39	0	1.000
k O ty a g o s	14	0	1.000
k o v A cs o l A s	5	0	1.000
k o v A sz	117	0	1.000
k oe z E p p A ly A s	1260	0	1.000
k oe z h a sz n U	296	0	1.000
k o z m e t i k u s	75	0	1.000
k o z m i k u s	28	0	1.000
k o z m o sz	214	0	1.000
k oe z p o n t U	55	0	1.000
k r a f t	29	0	1.000
k r a m p u sz	70	0	1.000
k r E d O	17	0	1.000
k r e o l	14	0	1.000
k r i n o l i n	15	0	1.000
k r i s t A ly	100	0	1.000
k r i sz t u s	8400	0	1.000
k r i t E r i u m	2230	0	1.000
k r i t i k a	2280	0	1.000
k r i t i k u s	2400	0	1.000
k r i t i z A l O	19	0	1.000
k r o k o d i l	125	0	1.000
k r O m	37	0	1.000
k r O n i k u s	37	0	1.000
k r u m p l i	223	0	1.000
k u b i k o s	52	0	1.000
k u b i k u s	13	0	1.000
k u b i z m u s	49	0	1.000
k u c k O	40	0	1.000
k u d a r c	1790	0	1.000
k u f A r	17	0	1.000
k u g l i	10	0	1.000
k u j o n	18	0	1.000
k u k a c	101	0	1.000
k u k a c o k	42	0	1.000
k u k i	29	0	1.000
k u k k o l O	63	0	1.000
k ue k l o p sz	12	0	1.000
k u k t a	57	0	1.000
k u l a cs	48	0	1.000
k u l cs	638	0	1.000
k u l cs a	778	0	1.000
k u l l a n cs	37	0	1.000
k u l t u r A l t	95	0	1.000
k u l t u sz	579	0	1.000
k ue l v A r o s	73	0	1.000
k ue l v i l A g	575	0	1.000
k u n cs a f t	170	0	1.000
k u n sz t	25	0	1.000
k u ny h O	94	0	1.000
k U p	114	0	1.000
k u p a	424	0	1.000
k u p a c	34	0	1.000
k u p l e r A j	32	0	1.000
k u p l u n g	55	0	1.000
k u r A t o r	157	0	1.000
k u r t i z A n	67	0	1.000
k u r u zs l A s	66	0	1.000
k u r u zs l O	61	0	1.000
k u r v a	451	0	1.000
k u r v A s	8	0	1.000
k u r z o r	85	0	1.000
k u r z u s	541	0	1.000
k u sz a	164	0	1.000
k U sz A s	13	0	1.000
k u t a t A s	3830	0	1.000
k u t a t A s o k	2840	0	1.000
k u t a t O	3610	0	1.000
k u ty a	6410	0	1.000
k u ty u s	387	0	1.000
k u v i k	8	0	1.000
k v a d r A n s	18	0	1.000
k v a n t u m	11	0	1.000
k v a r c	21	0	1.000
k v a r k	17	0	1.000
k v a z A r	14	0	1.000
l A b	630	0	1.000
l A b a d	66	0	1.000
l A b a k	463	0	1.000
l A b a m	250	0	1.000
l A b a s	19	0	1.000
l A b a z a t	9	0	1.000
l a b d a	576	0	1.000
l a b i r i n t u s	157	0	1.000
l a b o r	175	0	1.000
l a b o r A n s	29	0	1.000
l A b U	22	0	1.000
l A d A k	52	0	1.000
l a d i k	43	0	1.000
l A gy	226	0	1.000
l a gy m a t a g	26	0	1.000
l A gy s A g	18	0	1.000
l a i k u s	557	0	1.000
l a j h A r	45	0	1.000
l a j s t r o m	24	0	1.000
l a j s t r o m o z A s	21	0	1.000
l a k A j	84	0	1.000
l a k A s	2730	0	1.000
l a k a t	60	0	1.000
l a k a t o s	329	0	1.000
l a k k	41	0	1.000
l a k m A r o z A s	11	0	1.000
l a k O	769	0	1.000
l a k o d a l o m	141	0	1.000
l a k O k	4070	0	1.000
l a k o s	3590	0	1.000
l A m p A s	152	0	1.000
l A n c	627	0	1.000
l A n c o l a t	112	0	1.000
l A n g	285	0	1.000
l A n g o k	166	0	1.000
l A n g o l A s	34	0	1.000
l A n g o l O	134	0	1.000
l A n g o s	23	0	1.000
l a n gy o s	104	0	1.000
l a n k a d A s	17	0	1.000
l a n k a d t	10	0	1.000
l a n t	120	0	1.000
l a n t o s	114	0	1.000
l a ny h u l A s	5	0	1.000
l A ny o k	19500	0	1.000
l A ny o s	18	0	1.000
l a o sz	21	0	1.000
l a p A ly	20	0	1.000
l a p A t	96	0	1.000
l a p A t o l A s	12	0	1.000
l a p i s	3	0	1.000
l a p j a	5380	0	1.000
l a p o k	14500	0	1.000
l a p o m	43	0	1.000
l a p o s	372	0	1.000
l a p o z g a t A s	15	0	1.000
l a s s I t A s	23	0	1.000
l a s s I t O	18	0	1.000
l a s s U	994	0	1.000
l a s s U b b	61	0	1.000
l a s s u l A s	50	0	1.000
l a s s U s A g	100	0	1.000
l A t A s	573	0	1.000
l A t h a t O k	46	0	1.000
l a t i n	153	0	1.000
l A t n o k	138	0	1.000
l A t O	273	0	1.000
l A t o g a t A s	728	0	1.000
l A t o g a t O	2950	0	1.000
l a t o l g a t A s	22	0	1.000
l A t o m A s	261	0	1.000
l A t sz a t	429	0	1.000
l A t sz O l a g o s	46	0	1.000
l A t v A ny o s	440	0	1.000
l A t v A ny o s s A g	581	0	1.000
l A z	422	0	1.000
l a z a	342	0	1.000
l a z a c	91	0	1.000
l A z a s	95	0	1.000
l a z a s A g	39	0	1.000
l a z I t A s	116	0	1.000
l A z I t O	67	0	1.000
l A z o n g A s	32	0	1.000
l a zs A l A s	10	0	1.000
l a z u l A s	11	0	1.000
l E g i O	148	0	1.000
l E g i O s	119	0	1.000
l E g v A r a k	22	0	1.000
l E h a s A g	51	0	1.000
l E t m i n i m u m	87	0	1.000
l i b a	213	0	1.000
l i b e r t i n u s	12	0	1.000
l i b i d O	54	0	1.000
l i c i t A l A s	16	0	1.000
l i c i t A l O	45	0	1.000
l i g a	745	0	1.000
l i l i o m	121	0	1.000
l i m l o m	15	0	1.000
l i m o n A d E	20	0	1.000
l i m u z i n	99	0	1.000
l I r a i s A g	26	0	1.000
l I r i k u s	119	0	1.000
l i s t a	2320	0	1.000
l i t u r g i a	347	0	1.000
l i t u r g i k u s	8	0	1.000
l i t v A n	20	0	1.000
l O	4180	0	1.000
l o b b i z A s	93	0	1.000
l o b o g A s	10	0	1.000
l o b o g O	120	0	1.000
l o b o g O k	22	0	1.000
l o cs o g A s	33	0	1.000
l o cs o l O	16	0	1.000
l O d I t A s	11	0	1.000
l o g a r i t m u s	19	0	1.000
l O g A s	72	0	1.000
l o g i k a	809	0	1.000
l o g i k A t l a n	226	0	1.000
l o g i k u s	3170	0	1.000
l O g O	13	0	1.000
l O g O s	47	0	1.000
l o j a l i t A s	86	0	1.000
l oe k h A r I t O	36	0	1.000
l oe k h A r I t O k	19	0	1.000
l o m b	80	0	1.000
l o m b i k	14	0	1.000
l o m b o z a t	24	0	1.000
l o m h a s A g	9	0	1.000
l o m p o s	19	0	1.000
l o m t A r	49	0	1.000
l o n d o n	311	0	1.000
l o n d o n i a k	72	0	1.000
l o p a k o d A s	12	0	1.000
l o p a k o d O	27	0	1.000
l o p A s	645	0	1.000
l o p A s o k	67	0	1.000
l o p O	27	0	1.000
l o r d	223	0	1.000
l o r d o k	31	0	1.000
l O sz e r sz A m	14	0	1.000
l o t t O	51	0	1.000
l O t u sz	35	0	1.000
l o ty O	48	0	1.000
l o v a g	909	0	1.000
l o v a g i a s	79	0	1.000
l o v a g l A s	102	0	1.000
l o v a k	1540	0	1.000
l o v a s	608	0	1.000
l o v a s s A g	152	0	1.000
l o v A sz	118	0	1.000
l u b i c k o l A s	23	0	1.000
l U d	89	0	1.000
l U g	25	0	1.000
l u g a s	24	0	1.000
l u r k O	41	0	1.000
l u s t a	273	0	1.000
l u s t A l k o d A s	21	0	1.000
l u s t a s A g	158	0	1.000
l u t r i	20	0	1.000
l u k s u s	740	0	1.000
ly u k	363	0	1.000
ly u k a s	43	0	1.000
ly u k a sz t A s	7	0	1.000
m a c k O	190	0	1.000
m a cs k a	1860	0	1.000
m a cs k A k	672	0	1.000
m a d A r	5030	0	1.000
m a d a r a k	2380	0	1.000
m a dz a g	59	0	1.000
m a g	918	0	1.000
m a g A n	16	0	1.000
m a g A ny	321	0	1.000
m a g A ny o s	1600	0	1.000
m a g A ny o s s A g	62	0	1.000
m a g a s	4060	0	1.000
m a g a s a b b	766	0	1.000
m a g a s a k	78	0	1.000
m a g a s l a t	87	0	1.000
m a g a s s A g	386	0	1.000
m a g a s s A g U	33	0	1.000
m a g a sz t a l A s	23	0	1.000
m a g a sz t o s	157	0	1.000
m a g a z i n	3840	0	1.000
m A g i k u s	164	0	1.000
m a g j a	918	0	1.000
m A g n A s	116	0	1.000
m a g n O sz a l a g	4	0	1.000
m a g o l A s	17	0	1.000
m a g t a l a n	50	0	1.000
m a g u k	57900	0	1.000
m a gy a r A z a t	740	0	1.000
m a gy a r A z O	27	0	1.000
m a g z a t	582	0	1.000
m A j	229	0	1.000
m a j m o k	346	0	1.000
m a j m o l A s	21	0	1.000
m a j o m	924	0	1.000
m A j u s	92	0	1.000
m A k	96	0	1.000
m a k a cs	153	0	1.000
m a k a cs s A g	59	0	1.000
m a k a r O n i	22	0	1.000
m a k i	51	0	1.000
m a k k	36	0	1.000
m a k u l A t l a n	113	0	1.000
m a l a c	371	0	1.000
m a l a c k o d A s	7	0	1.000
m a l A j	16	0	1.000
m a l a sz t	39	0	1.000
m A l l A s	47	0	1.000
m a l o m	333	0	1.000
m a m l a sz	15	0	1.000
m a m m u t	39	0	1.000
m A m o r	216	0	1.000
m A m o r I t O	9	0	1.000
m A m o r o s	23	0	1.000
m a n cs	154	0	1.000
m a n d a r i n	70	0	1.000
m a n d A t u m	106	0	1.000
m A n i A k u s	63	0	1.000
m A n i A s	40	0	1.000
m a n k O	88	0	1.000
m a n u s	105	0	1.000
m a r a d E k o k	33	0	1.000
m a r a d i	196	0	1.000
m a r a d i s A g	60	0	1.000
m a r a d t	19	0	1.000
m a r a d v A ny	129	0	1.000
m a r a d v A ny o k	78	0	1.000
m a r A s	24	0	1.000
m a r a t	34	0	1.000
m a r a t A s	11	0	1.000
m a r c i p A n	18	0	1.000
m A r c i u s	103	0	1.000
m a r g a r i n	19	0	1.000
m a r g O	56	0	1.000
m a r h a	331	0	1.000
m a r h a s A g	291	0	1.000
m a r j a	18	0	1.000
m a r k a	48	0	1.000
m a r k A n s	51	0	1.000
m a r k o l a t	63	0	1.000
m a r O	24	0	1.000
m a r o k	31	0	1.000
m a r o k k O	55	0	1.000
m a r s	421	0	1.000
m a r s a l l	242	0	1.000
m a r t a l O c	28	0	1.000
m A r t A s	93	0	1.000
m A r t I r	303	0	1.000
m A r t I r o m s A g	24	0	1.000
m A r v A ny	89	0	1.000
m A s n a p o s s A g	22	0	1.000
m A s o d l a g o s	497	0	1.000
m A s o l A s	180	0	1.000
m A s o l a t	346	0	1.000
m A s o l O	64	0	1.000
m A s s a l h a n g z O k	38	0	1.000
m a s sz a	170	0	1.000
m a s sz A zs	142	0	1.000
m a s sz I r o z A s	32	0	1.000
m A sz A s	134	0	1.000
m a sz a t	32	0	1.000
m a sz k	176	0	1.000
m a sz l a g	64	0	1.000
m A sz O	81	0	1.000
m a t a d o r	37	0	1.000
m A t k a s A g	15	0	1.000
m a t r a c	95	0	1.000
m a t r i c a	101	0	1.000
m A t r i k s	491	0	1.000
m a t r O z	214	0	1.000
m a t r O z o k	100	0	1.000
m a k s i m u m	145	0	1.000
m A z	46	0	1.000
m A z l i	21	0	1.000
m a z o ch i z m u s	40	0	1.000
m A z o l A s	12	0	1.000
m A z o l O	18	0	1.000
m a zs o l a	90	0	1.000
m e ch a n i k a	155	0	1.000
m e ch a n i k u s	109	0	1.000
m e ch a n i z m u s	742	0	1.000
m e d A l	29	0	1.000
m e d i A n	67	0	1.000
m e d i k u s	54	0	1.000
m E d i u m	573	0	1.000
m E l a b U	19	0	1.000
m E l a b U s	11	0	1.000
m e l A k	85	0	1.000
m E l t A ny o s	629	0	1.000
m E l t A ny o s s A g	104	0	1.000
m E l t A ny t a l a n	867	0	1.000
m E l t a t A s	24	0	1.000
m E l t a t l a n s A g	24	0	1.000
m E l t O s A g	635	0	1.000
m E l t O s A g o d	171	0	1.000
m E ly l E l e k t a n	14	0	1.000
m e m b r A n	85	0	1.000
m e m e n t O	108	0	1.000
m e m o r a n d u m	60	0	1.000
m e n d e m o n d A k	93	0	1.000
m e n t a l i t A s	401	0	1.000
m e n t o l	14	0	1.000
m e n t o r	87	0	1.000
m e s s i A s	690	0	1.000
m E sz A r l A s	210	0	1.000
m E sz A r o s	324	0	1.000
m e t A n	30	0	1.000
m e t e o r	80	0	1.000
m e k s i k O	151	0	1.000
m i a ty A n k	34	0	1.000
m i cs o d a	77	0	1.000
m i k r o f o n	132	0	1.000
m i k r o sz k O p	35	0	1.000
m i l l e n n i u m	78	0	1.000
m i l l i o m o s	360	0	1.000
m i n o r	23	0	1.000
m i n t a	2800	0	1.000
m i n t A z a t	107	0	1.000
m I n u sz	26	0	1.000
m i sz t E r i u m	220	0	1.000
m i sz t i k u s	642	0	1.000
m i t i k u s	55	0	1.000
m I t o sz	525	0	1.000
m i t u g r A sz	24	0	1.000
m i v o l t a	965	0	1.000
m o b i l i t A s	246	0	1.000
m o cs A r	157	0	1.000
m o cs k o l O d A s	388	0	1.000
m o cs k o s	181	0	1.000
m o cs o k	184	0	1.000
m O d	2550	0	1.000
m o d e r n i z m u s	75	0	1.000
m O d i	79	0	1.000
m o d o r	126	0	1.000
m o d o r o s	119	0	1.000
m o d o r o s s A g	58	0	1.000
m o d o r t a l a n	33	0	1.000
m o d o r U	12	0	1.000
m O d o s I t A s	1740	0	1.000
m O d o s I t O	591	0	1.000
m O d o s u l A s	57	0	1.000
m O d o z a t	61	0	1.000
m O d u s	14	0	1.000
m o gy o r O	65	0	1.000
m o h a m e d A n	64	0	1.000
m o h i k A n	28	0	1.000
m o h O	104	0	1.000
m o h O s A g	60	0	1.000
m O k A s	166	0	1.000
m O k u s	324	0	1.000
m o l e sz t A l A s	23	0	1.000
m o l l	14	0	1.000
m o l n A r	342	0	1.000
m O l O	31	0	1.000
m o n a r ch i a	618	0	1.000
m o n d a	3360	0	1.000
m o n d A s	463	0	1.000
m o n d O	31	0	1.000
m o n g o l	23	0	1.000
m o n i t o r	661	0	1.000
m o n o k l i	11	0	1.000
m o n o k r O m	10	0	1.000
m o n o l O g	113	0	1.000
m o n o t o n	181	0	1.000
m o n sz u n	19	0	1.000
m O r	301	0	1.000
m o r A l	240	0	1.000
m o r a l i t A s	68	0	1.000
m o r b i d i t A s	20	0	1.000
m o r c	11	0	1.000
m o r c o s	69	0	1.000
m o r f i n	30	0	1.000
m o r f i u m	36	0	1.000
m o r g A s	20	0	1.000
m o r m o l	144	0	1.000
m o r O z u s	8	0	1.000
m o s a k o d A s	36	0	1.000
m o s A s	97	0	1.000
m o s d A s	16	0	1.000
m o s d O	43	0	1.000
m o s o g a t A s	22	0	1.000
m o s o g a t O	38	0	1.000
m o s o ly g O	16	0	1.000
m o s o ly g O s	59	0	1.000
m o s O p o r	48	0	1.000
m o s t	57	0	1.000
m o sz a t	23	0	1.000
m o t I v u m	355	0	1.000
m o t o r	3060	0	1.000
m o t o r j a	2040	0	1.000
m o t o r o s	714	0	1.000
m o t o z A s	72	0	1.000
m o t t O	195	0	1.000
m o z a i k	121	0	1.000
m o z d o ny	183	0	1.000
m o z d u l a t	385	0	1.000
m o z g a l m a s	130	0	1.000
m o z g a l m a s s A g	18	0	1.000
m o z g a l o m	5860	0	1.000
m o z g A s	1970	0	1.000
m o z g A s U	35	0	1.000
m o z g a t A s	52	0	1.000
m o z g a t O	52	0	1.000
m o z g E k o ny	58	0	1.000
m o z g E k o ny s A g	42	0	1.000
m o z g O	62	0	1.000
m o z g O s I t A s	47	0	1.000
m o z z a n a t	387	0	1.000
m UE a ny a g	18	0	1.000
m u f t i	31	0	1.000
m u k s O	25	0	1.000
m u l a n d O	83	0	1.000
m U l a n d O	16	0	1.000
m u l a n d O s A g	97	0	1.000
m U l a n d O s A g	47	0	1.000
m U l A s	19	0	1.000
m u l a sz t A s	428	0	1.000
m u l a t A s	16	0	1.000
m u l a t O	58	0	1.000
m u l a t o z A s	98	0	1.000
m u l a t t a t O	41	0	1.000
m U l E k o ny	19	0	1.000
m u l l a h	17	0	1.000
m U l O	38	0	1.000
m U l t	3550	0	1.000
m U l t U	21	0	1.000
m u m u s	157	0	1.000
m u n I c i O	28	0	1.000
m u n k A k	1720	0	1.000
m u n k A l a t	110	0	1.000
m u n k A l a t o k	669	0	1.000
m u n k A s o k	3140	0	1.000
m u n k a t A r s a k	2310	0	1.000
m u r i	41	0	1.000
m u r o k	16	0	1.000
m u s k E t A s	22	0	1.000
m u s k E t A s o k	11	0	1.000
m u s t	117	0	1.000
m u s t A r	18	0	1.000
m u sz A j	28	0	1.000
m u t A c i O	179	0	1.000
m u t A n s	68	0	1.000
m u t a t O	664	0	1.000
m u t a t O s	39	0	1.000
m u t a t v A ny	197	0	1.000
m u t a t v A ny o k	41	0	1.000
m u t a t v A ny o s	39	0	1.000
m u t o g a t A s	52	0	1.000
n A d	96	0	1.000
n A d a s	117	0	1.000
n a d r A g	112	0	1.000
n a gy b A cs i	110	0	1.000
n a gy I t A s	96	0	1.000
n a gy I t O	16	0	1.000
n a gy k o r U s A g	19	0	1.000
n a gy o b b	4540	0	1.000
n a gy o k	7070	0	1.000
